day_index,step,P_load_kW,P_pv_kW,day_type
1,0,39.81,0.0,working
1,1,38.24977777777778,0.0,working
1,2,38.117333333333335,0.0,working
1,3,38.48711111111111,0.0,working
1,4,37.903111111111116,0.0,working
1,5,36.894222222222226,0.0,working
1,6,37.60444444444445,0.0,working
1,7,37.28666666666667,0.0,working
1,8,37.489333333333335,0.0,working
1,9,37.711555555555556,0.0,working
1,10,36.77822222222222,0.0,working
1,11,37.309333333333335,0.0,working
1,12,37.66488888888889,0.0,working
1,13,37.51466666666667,0.0,working
1,14,36.51288888888889,0.0,working
1,15,38.13511111111111,0.0,working
1,16,39.95022222222222,0.0,working
1,17,38.328,0.0,working
1,18,37.93822222222222,0.0,working
1,19,38.05155555555555,0.0,working
1,20,38.641012658227844,0.0,working
1,21,37.96,0.0,working
1,22,37.0076404494382,0.12,working
1,23,36.89141025641026,1.2374999999999998,working
1,24,47.273529411764706,3.3166666666666664,working
1,25,158.62277777777777,15.57,working
1,26,169.2341111111111,31.49666666666667,working
1,27,109.44433333333333,38.166666666666664,working
1,28,167.69921348314605,48.88333333333333,working
1,29,454.31068181818176,72.29333333333334,working
1,30,691.6867415730337,60.7125,working
1,31,709.8278666666668,122.08333333333333,working
1,32,733.8213483146068,119.50999999999999,working
1,33,736.3126666666667,97.07666666666667,working
1,34,749.6728888888889,168.5,working
1,35,737.1908888888888,191.46,working
1,36,736.2864444444444,189.2733333333333,working
1,37,734.0072222222221,201.96333333333334,working
1,38,734.0796666666666,199.09333333333333,working
1,39,749.0158888888889,141.67666666666665,working
1,40,738.4621348314607,124.72,working
1,41,741.7546590909091,115.65333333333332,working
1,42,746.2135227272727,176.73666666666668,working
1,43,695.5576623376624,182.53666666666666,working
1,44,688.7647727272728,205.63,working
1,45,690.3943820224719,189.02,working
1,46,575.2494252873563,182.6933333333333,working
1,47,574.3115584415584,187.2975,working
1,48,418.02033707865166,138.33666666666667,working
1,49,396.31777777777774,117.71,working
1,50,519.6824444444444,110.85000000000001,working
1,51,532.7417777777778,103.46666666666665,working
1,52,641.4968181818182,96.81,working
1,53,638.0419318181819,129.44,working
1,54,639.272840909091,170.61000000000004,working
1,55,638.0147368421053,120.42,working
1,56,651.8319101123595,173.05666666666664,working
1,57,653.285,174.59666666666666,working
1,58,637.0297777777778,199.66666666666666,working
1,59,654.9288888888889,168.65333333333334,working
1,60,650.1192045454545,132.81,working
1,61,661.0993258426967,153.21,working
1,62,648.29,117.83,working
1,63,644.0185897435897,113.49333333333334,working
1,64,634.2804651162791,97.03666666666668,working
1,65,639.4086516853932,47.5975,working
1,66,641.6372839506173,14.030000000000001,working
1,67,640.4374390243903,11.1025,working
1,68,661.9593181818182,9.055,working
1,69,623.6795454545455,6.666666666666667,working
1,70,631.0481578947368,2.7225,working
1,71,627.4182022471911,0.43,working
1,72,609.3370114942529,0.0,working
1,73,494.89393258426963,0.0,working
1,74,190.14285714285714,0.0,working
1,75,117.39545454545454,0.0,working
1,76,119.43227272727273,0.0,working
1,77,119.42727272727274,0.0,working
1,78,119.53315789473685,0.0,working
1,79,124.08359550561798,0.0,working
1,80,115.1374712643678,0.0,working
1,81,112.8528735632184,0.0,working
1,82,106.55076923076922,0.0,working
1,83,105.38022471910112,0.0,working
1,84,94.645,0.0,working
1,85,98.46,0.0,working
1,86,104.44873563218391,0.0,working
