day_index,step,P_load_kW,P_pv_kW,day_type
1,163,30.926666666666666,0.0,working
1,164,30.52,0.0,working
1,165,31.80666666666667,0.0,working
1,166,30.69333333333333,0.0,working
1,167,31.30666666666667,0.0,working
1,168,31.580000000000002,0.0,working
1,169,31.513333333333332,0.0,working
1,170,32.053333333333335,0.0,working
1,171,32.17333333333334,0.0,working
1,172,31.986666666666665,0.0,working
1,173,31.433333333333334,0.0,working
1,174,31.173333333333332,0.0,working
1,175,31.55333333333333,0.0,working
1,176,31.19333333333333,0.0,working
1,177,31.679999999999996,0.0,working
1,178,31.026666666666667,0.0,working
1,179,31.24666666666667,0.0,working
1,180,31.659999999999997,0.0,working
1,181,30.793333333333333,0.0,working
1,182,30.98,0.0,working
1,183,30.893333333333334,0.0,working
1,184,31.16,0.0,working
1,185,30.91333333333333,0.0,working
1,186,30.76,0.0,working
1,187,31.126666666666665,0.0,working
1,188,30.746666666666666,0.0,working
1,189,31.91333333333333,0.0,working
1,190,30.66,0.0,working
1,191,30.593333333333334,0.0,working
1,192,31.706666666666667,0.0,working
1,193,31.373333333333335,0.0,working
1,194,31.773333333333337,0.0,working
1,195,31.94666666666667,0.0,working
1,196,30.893333333333334,0.0,working
1,197,30.900000000000002,0.0,working
1,198,31.286666666666665,0.0,working
1,199,32.193333333333335,0.0,working
1,200,31.48,0.0,working
1,201,31.98,0.0,working
1,202,31.8,0.0,working
1,203,31.16,0.0,working
1,204,31.91333333333333,0.0,working
1,205,31.313333333333333,0.0,working
1,206,31.853333333333335,0.0,working
1,207,31.439999999999998,0.0,working
1,208,31.253333333333334,0.0,working
1,209,31.833333333333332,0.0,working
1,210,33.5,0.0,working
1,211,33.72,0.0,working
1,212,31.653333333333336,0.0,working
1,213,31.826666666666668,0.0,working
1,214,31.66,0.0,working
1,215,31.873333333333335,0.0,working
1,216,31.819999999999997,0.0,working
1,217,31.060000000000002,0.0,working
1,218,31.353333333333335,0.0,working
1,219,30.62,0.0,working
1,220,30.993333333333336,0.0,working
1,221,31.113333333333333,0.0,working
1,222,29.706666666666667,0.0,working
1,223,30.073333333333334,0.0,working
1,224,29.113333333333333,0.0,working
1,225,30.540000000000003,0.0,working
1,226,30.28,0.0,working
1,227,30.526666666666667,0.0,working
1,228,30.886666666666667,0.0,working
1,229,30.433333333333334,0.0,working
1,230,31.02,0.0,working
1,231,30.153333333333332,0.0,working
1,232,30.453333333333333,0.0,working
1,233,30.926666666666666,0.0,working
1,234,30.28,0.0,working
1,235,30.666666666666668,0.0,working
1,236,31.60666666666667,0.0,working
1,237,31.599999999999998,0.0,working
1,238,32.153333333333336,0.0,working
1,239,31.64,0.0,working
1,240,31.993333333333336,0.0,working
1,241,31.69333333333333,0.0,working
1,242,31.886666666666667,0.0,working
1,243,32.300000000000004,0.0,working
1,244,31.62,0.0,working
1,245,31.453333333333333,0.0,working
1,246,30.98,0.0,working
1,247,30.680000000000003,0.0,working
1,248,30.66,0.0,working
1,249,31.679999999999996,0.0,working
1,250,32.300000000000004,0.0,working
1,251,31.066666666666666,0.0,working
1,252,30.786666666666665,0.0,working
1,253,30.92,0.0,working
1,254,31.26,0.0,working
1,255,31.3,0.0,working
1,256,30.473333333333333,0.0,working
1,257,30.02,0.0,working
1,258,30.0,0.0,working
1,259,30.34,0.0,working
1,260,29.873333333333335,0.0,working
1,261,30.373333333333335,0.0,working
1,262,29.873333333333335,0.0,working
1,263,30.05333333333333,0.0,working
1,264,30.286666666666665,0.0,working
1,265,30.613333333333333,0.0,working
1,266,31.179999999999996,0.0,working
1,267,30.2,0.0,working
1,268,30.146666666666665,0.0,working
1,269,30.179999999999996,0.0,working
1,270,30.48,0.0,working
1,271,31.05333333333333,0.0,working
1,272,30.993333333333336,0.0,working
1,273,31.52,0.0,working
1,274,31.066666666666666,0.0,working
1,275,30.386666666666667,0.0,working
1,276,30.599999999999998,0.0,working
1,277,29.86,0.0,working
1,278,30.873333333333335,0.0,working
1,279,29.96666666666667,0.0,working
1,280,29.866666666666664,0.0,working
1,281,30.48,0.0,working
1,282,30.106666666666666,0.0,working
1,283,30.973333333333333,0.0,working
1,284,29.94666666666667,0.0,working
1,285,29.833333333333332,0.0,working
1,286,29.42,0.0,working
1,287,29.673333333333332,0.0,working
1,288,30.373333333333335,0.0,working
1,289,29.459999999999997,0.0,working
1,290,29.34,0.0,working
1,291,28.906666666666666,0.0,working
1,292,29.19333333333333,0.0,working
1,293,30.046666666666667,0.0,working
1,294,29.813333333333333,0.0,working
1,295,30.133333333333336,0.0,working
1,296,28.98,0.0,working
1,297,28.833333333333332,0.0,working
1,298,29.179999999999996,0.0,working
1,299,28.866666666666664,0.0,working
1,300,29.673333333333332,0.018,working
1,301,29.48,0.036,working
1,302,28.77333333333333,0.054,working
1,303,28.613333333333333,0.072,working
1,304,31.246666666666666,0.09,working
1,305,31.77333333333333,0.108,working
1,306,31.493333333333336,0.126,working
1,307,31.035,0.144,working
1,308,28.618333333333336,0.162,working
1,309,28.838333333333335,0.18,working
1,310,29.37,0.254,working
1,311,28.583333333333332,0.328,working
1,312,28.348333333333333,0.402,working
1,313,28.34,0.47600000000000003,working
1,314,28.191666666666666,0.55,working
1,315,28.125,0.752,working
1,316,31.278333333333332,0.954,working
1,317,31.653333333333332,1.1560000000000001,working
1,318,30.611666666666665,1.358,working
1,319,29.103333333333335,1.56,working
1,320,28.325,1.792,working
1,321,27.383333333333336,2.024,working
1,322,28.025000000000002,2.2560000000000002,working
1,323,27.653333333333336,2.488,working
1,324,28.275000000000002,2.72,working
1,325,27.141666666666666,3.004,working
1,326,27.13,3.2880000000000003,working
1,327,27.459999999999997,3.572,working
1,328,27.973333333333333,3.856,working
1,329,28.128333333333334,4.14,working
1,330,27.99,4.5,working
1,331,28.21666666666667,4.86,working
1,332,27.888333333333335,5.220000000000001,working
1,333,28.401666666666667,5.58,working
1,334,27.94666666666667,5.94,working
1,335,27.355,6.322,working
1,336,27.246666666666666,6.704,working
1,337,28.003333333333334,7.086,working
1,338,28.10166666666667,7.468,working
1,339,27.861666666666665,7.85,working
1,340,29.33666666666667,8.32,working
1,341,29.876666666666665,8.79,working
1,342,29.668333333333333,9.26,working
1,343,30.411666666666665,9.729999999999999,working
1,344,27.320000000000004,10.2,working
1,345,28.688333333333333,10.686,working
