day_index,date_iso,day_type,step,P_load_kW,P_pv_kW
2,2025-09-07,weekend,84,17.558426966292135,0.0
2,2025-09-07,weekend,85,17.508444444444443,0.0
2,2025-09-07,weekend,86,17.637444444444444,0.0
2,2025-09-07,weekend,87,18.998214285714283,0.0
2,2025-09-07,weekend,88,18.90522222222222,0.0
2,2025-09-07,weekend,89,17.91277777777778,0.0
2,2025-09-07,weekend,90,18.688555555555556,0.0
2,2025-09-07,weekend,91,19.153555555555556,0.0
2,2025-09-07,weekend,92,20.673444444444442,0.0
2,2025-09-07,weekend,93,18.21988764044944,0.0
2,2025-09-07,weekend,94,17.697111111111113,0.0
2,2025-09-07,weekend,95,19.21066666666667,0.0
3,2025-09-08,working,0,17.395875,0.0
3,2025-09-08,working,1,18.0,0.0
3,2025-09-08,working,2,16.98322222222222,0.0
3,2025-09-08,working,3,17.573,0.0
3,2025-09-08,working,4,18.35033333333333,0.0
3,2025-09-08,working,5,18.993444444444446,0.0
3,2025-09-08,working,6,20.508444444444443,0.0
3,2025-09-08,working,7,17.726222222222223,0.0
3,2025-09-08,working,8,16.775444444444442,0.0
3,2025-09-08,working,9,18.91,0.0
3,2025-09-08,working,10,18.391222222222222,0.0
3,2025-09-08,working,11,17.738888888888887,0.0
3,2025-09-08,working,12,17.331777777777777,0.0
3,2025-09-08,working,13,17.808777777777777,0.0
3,2025-09-08,working,14,16.212777777777777,0.0
3,2025-09-08,working,15,17.417333333333332,0.0
3,2025-09-08,working,16,17.887,0.0
3,2025-09-08,working,17,17.923555555555556,0.0
3,2025-09-08,working,18,20.19911111111111,0.0
3,2025-09-08,working,19,19.630777777777777,0.0
3,2025-09-08,working,20,17.025333333333332,0.0
3,2025-09-08,working,21,16.08477777777778,0.0
3,2025-09-08,working,22,12.797666666666666,1.3975675675675676
3,2025-09-08,working,23,12.978,8.997882352941177
3,2025-09-08,working,24,12.870333333333333,11.524583333333332
3,2025-09-08,working,25,14.190777777777779,12.627407407407407
3,2025-09-08,working,26,12.846333333333334,11.15625
3,2025-09-08,working,27,14.497191011235955,12.621063829787236
3,2025-09-08,working,28,48.54539325842697,41.585967741935484
3,2025-09-08,working,29,389.1821111111111,304.0663157894737
3,2025-09-08,working,30,707.6047777777778,508.3285714285715
3,2025-09-08,working,31,759.4559999999999,419.018705882353
3,2025-09-08,working,32,799.0205555555556,423.4872151898734
3,2025-09-08,working,33,900.3974444444445,613.2042352941177
3,2025-09-08,working,34,901.8174444444444,502.818375
3,2025-09-08,working,35,887.9116666666667,532.080375
3,2025-09-08,working,36,912.2402222222222,846.5221839080459
