day_index,date_iso,day_type,step,P_load_kW,P_pv_kW
2,2025-09-07,weekend,14,30.138331,7.281519
2,2025-09-07,weekend,15,29.768209,7.646813
2,2025-09-07,weekend,16,30.356550,7.685778
2,2025-09-07,weekend,17,31.016670,7.775229
2,2025-09-07,weekend,18,31.381025,8.428028
2,2025-09-07,weekend,19,31.082079,9.094448
2,2025-09-07,weekend,20,30.293773,9.102742
2,2025-09-07,weekend,21,28.796956,10.670011
2,2025-09-07,weekend,22,27.816689,12.062751
2,2025-09-07,weekend,23,27.364737,12.995062
2,2025-09-07,weekend,24,26.087859,12.661932
2,2025-09-07,weekend,25,25.716797,12.365912
2,2025-09-07,weekend,26,25.020624,13.338043
2,2025-09-07,weekend,27,26.054142,14.722984
2,2025-09-07,weekend,28,62.204305,33.914157
2,2025-09-07,weekend,29,212.388680,79.852758
2,2025-09-07,weekend,30,287.264630,117.003220
2,2025-09-07,weekend,31,291.351240,135.986561
2,2025-09-07,weekend,32,294.959697,154.288619
2,2025-09-07,weekend,33,297.911551,174.016466
2,2025-09-07,weekend,34,297.467069,180.298976
2,2025-09-07,weekend,35,301.760918,191.592225
2,2025-09-07,weekend,36,315.441272,200.866830
2,2025-09-07,weekend,37,319.054793,203.824173
2,2025-09-07,weekend,38,323.770850,220.665033
2,2025-09-07,weekend,39,326.595653,231.769284
2,2025-09-07,weekend,40,316.449385,237.365381
2,2025-09-07,weekend,41,334.837048,243.968012
2,2025-09-07,weekend,42,339.924045,256.595368
2,2025-09-07,weekend,43,349.208883,277.219614
2,2025-09-07,weekend,44,352.437171,279.974066
2,2025-09-07,weekend,45,347.094653,270.513108
2,2025-09-07,weekend,46,339.818136,268.499191
2,2025-09-07,weekend,47,333.337518,253.133224
2,2025-09-07,weekend,48,260.013796,215.795996
2,2025-09-07,weekend,49,281.024345,224.462216
2,2025-09-07,weekend,50,307.691745,246.259886
2,2025-09-07,weekend,51,312.293243,233.969316
2,2025-09-07,weekend,52,318.557813,239.671397
2,2025-09-07,weekend,53,322.624253,245.426101
2,2025-09-07,weekend,54,341.184198,244.133631
2,2025-09-07,weekend,55,363.169667,251.763453
2,2025-09-07,weekend,56,365.740437,261.798948
2,2025-09-07,weekend,57,367.919636,254.965138
2,2025-09-07,weekend,58,363.807630,229.505891
2,2025-09-07,weekend,59,344.538704,221.572011
2,2025-09-07,weekend,60,315.390925,199.878560
2,2025-09-07,weekend,61,310.117862,195.186594
2,2025-09-07,weekend,62,299.760121,178.936028
2,2025-09-07,weekend,63,219.831379,126.757413
2,2025-09-07,weekend,64,112.448953,63.785052
2,2025-09-07,weekend,65,106.632529,60.279718
2,2025-09-07,weekend,66,98.289013,52.323490
2,2025-09-07,weekend,67,63.462441,37.753234
2,2025-09-07,weekend,68,25.835183,18.452086
2,2025-09-07,weekend,69,23.520847,13.383480
2,2025-09-07,weekend,70,23.251328,9.797423
2,2025-09-07,weekend,71,23.438468,6.463335
2,2025-09-07,weekend,72,24.370430,3.831432
2,2025-09-07,weekend,73,29.128786,1.891825
2,2025-09-07,weekend,74,29.191366,0.325745
2,2025-09-07,weekend,75,27.855680,0.003794
2,2025-09-07,weekend,76,28.510701,0.000000
2,2025-09-07,weekend,77,28.543704,0.000000
2,2025-09-07,weekend,78,27.878628,0.000000
2,2025-09-07,weekend,79,27.376250,0.000000
2,2025-09-07,weekend,80,26.793875,0.000000
2,2025-09-07,weekend,81,26.909101,0.000000
2,2025-09-07,weekend,82,26.568589,0.000000
2,2025-09-07,weekend,83,25.389360,0.000000
2,2025-09-07,weekend,84,23.567382,0.000000
2,2025-09-07,weekend,85,23.267843,0.000000
2,2025-09-07,weekend,86,23.031668,0.000000
2,2025-09-07,weekend,87,23.224088,0.000000
2,2025-09-07,weekend,88,23.332589,0.000000
2,2025-09-07,weekend,89,23.308333,0.000000
2,2025-09-07,weekend,90,23.244855,0.005025
2,2025-09-07,weekend,91,22.883706,0.092029
2,2025-09-07,weekend,92,22.707159,0.275323
2,2025-09-07,weekend,93,22.445748,0.246143
2,2025-09-07,weekend,94,22.165130,0.261449
2,2025-09-07,weekend,95,21.800360,0.258687
3,2025-09-08,working,0,20.867039,6.820955
3,2025-09-08,working,1,19.956617,1.564085
3,2025-09-08,working,2,20.129420,0.007246
3,2025-09-08,working,3,20.280731,0.060740
3,2025-09-08,working,4,21.049219,0.150228
3,2025-09-08,working,5,21.907101,0.225791
3,2025-09-08,working,6,22.464620,0.289664
3,2025-09-08,working,7,24.099170,0.851342
3,2025-09-08,working,8,25.577573,1.049009
3,2025-09-08,working,9,25.576134,1.336801
3,2025-09-08,working,10,25.546151,1.518398
3,2025-09-08,working,11,25.781651,1.930381
3,2025-09-08,working,12,26.475724,1.585543
3,2025-09-08,working,13,26.469729,2.236868
3,2025-09-08,working,14,26.398343,3.257030
3,2025-09-08,working,15,27.788174,3.479857
3,2025-09-08,working,16,28.907693,2.956656
3,2025-09-08,working,17,29.096510,3.949670
3,2025-09-08,working,18,29.462210,4.100146
3,2025-09-08,working,19,28.161320,4.115300
3,2025-09-08,working,20,28.065955,4.575896
3,2025-09-08,working,21,26.331669,5.788458
3,2025-09-08,working,22,25.434247,6.877934
3,2025-09-08,working,23,28.391610,8.621658
3,2025-09-08,working,24,28.843665,10.114138
3,2025-09-08,working,25,29.040806,12.287857
3,2025-09-08,working,26,29.526935,14.580832
3,2025-09-08,working,27,32.329035,20.737345
3,2025-09-08,working,28,99.765789,52.284029
3,2025-09-08,working,29,425.333135,137.614974
3,2025-09-08,working,30,550.016472,187.762587
3,2025-09-08,working,31,550.419930,225.178424
3,2025-09-08,working,32,557.287864,267.939480
3,2025-09-08,working,33,564.187851,302.658276
3,2025-09-08,working,34,565.169675,316.519759
3,2025-09-08,working,35,570.612486,340.360705
3,2025-09-08,working,36,593.122414,374.526854
3,2025-09-08,working,37,599.288018,401.624231
3,2025-09-08,working,38,607.067067,411.517913
3,2025-09-08,working,39,609.798874,420.220621
3,2025-09-08,working,40,594.171752,427.335356
3,2025-09-08,working,41,620.063571,451.406673
3,2025-09-08,working,42,634.151428,464.936114
3,2025-09-08,working,43,648.371518,479.221539
3,2025-09-08,working,44,660.220282,481.011177
3,2025-09-08,working,45,643.491176,487.439547
3,2025-09-08,working,46,627.512985,473.825132
3,2025-09-08,working,47,616.733449,466.384539
3,2025-09-08,working,48,465.117948,368.343303
3,2025-09-08,working,49,513.449105,405.417415
3,2025-09-08,working,50,564.481701,438.439613
3,2025-09-08,working,51,575.135733,446.393576
3,2025-09-08,working,52,582.507236,452.812309
3,2025-09-08,working,53,589.956121,452.383530
3,2025-09-08,working,54,616.896802,460.350176
3,2025-09-08,working,55,665.293192,481.774352
3,2025-09-08,working,56,680.406549,477.502195
3,2025-09-08,working,57,685.788563,465.610550
3,2025-09-08,working,58,685.944582,446.579563
